Config_FD,N_FD,Rumore_%,Fold,Seed,Modello,IM,IP,IH,IH_min,IM_FD1,IM_FD2,IM_FD3,IM_FD4,Colonne_sporcate,Righe_train,Righe_train_sporcate,Righe_test,Righe_test_modificate,Accuracy,Precision,Recall,F1_weighted,F1_macro,Tempo_s,Iterazioni,Tempo_lavoro_s,Baseline_condivisa
C3,3,5,0,1005,Logistic Regression,137030,43046,2269,2091,734,60993,75358,,13,44513,2225,22257,0,0.9025924428269758,0.9022320814954794,0.9025924428269758,0.9022728642673593,0.902273756603558,4.0,272.0,252.3,False
C3,3,5,0,1005,Random Forest,137030,43046,2269,2091,734,60993,75358,,13,44513,2225,22257,0,0.975108954486229,0.9751119013460037,0.975108954486229,0.975034206517069,0.9750345233412918,17.6,,252.3,False
C3,3,5,0,1005,Decision Tree,137030,43046,2269,2091,734,60993,75358,,13,44513,2225,22257,0,0.9693579548007368,0.9693061891369884,0.9693579548007368,0.9692930382654925,0.9692934315245548,6.3,,252.3,False
C3,3,5,0,1005,Neural Network,137030,43046,2269,2091,734,60993,75358,,13,44513,2225,22257,0,0.9698521813362089,0.9698320884881768,0.9698521813362089,0.9697838478251363,0.9697841933127525,223.4,120.0,252.3,False
C2,2,5,2,1205,Logistic Regression,62883,33925,2024,2003,758,62125,,,11,44514,2225,22256,0,0.9011951833213515,0.9007413674365681,0.9011951833213515,0.9007460374657661,0.9007452585555995,4.0,276.0,274.6,False
C2,2,5,2,1205,Random Forest,62883,33925,2024,2003,758,62125,,,11,44514,2225,22256,0,0.9760514018691588,0.976030152306404,0.9760514018691588,0.975984531625911,0.9759840420971063,17.2,,274.6,False
C2,2,5,2,1205,Decision Tree,62883,33925,2024,2003,758,62125,,,11,44514,2225,22256,0,0.9702102803738317,0.9701649595726846,0.9702102803738317,0.9701845396086344,0.9701839198354858,6.0,,274.6,False
C2,2,5,2,1205,Neural Network,62883,33925,2024,2003,758,62125,,,11,44514,2225,22256,0,0.9701653486700216,0.9701293258405316,0.9701653486700216,0.9700847965758419,0.9700841632074274,246.6,133.0,274.6,False
C3,3,5,2,1205,Logistic Regression,139222,42755,2259,2082,758,62125,76378,,13,44514,2225,22256,0,0.9014647735442128,0.9010647472896144,0.9014647735442128,0.9010441448430782,0.9010433307246337,4.7,273.0,256.1,False
C3,3,5,2,1205,Random Forest,139222,42755,2259,2082,758,62125,76378,,13,44514,2225,22256,0,0.9757368799424874,0.9757063210518877,0.9757368799424874,0.9756784474840133,0.9756779995595661,15.7,,256.1,False
C3,3,5,2,1205,Decision Tree,139222,42755,2259,2082,758,62125,76378,,13,44514,2225,22256,0,0.9695363048166786,0.9694864135081676,0.9695363048166786,0.9695080355281487,0.9695073653756447,7.4,,256.1,False
C3,3,5,2,1205,Neural Network,139222,42755,2259,2082,758,62125,76378,,13,44514,2225,22256,0,0.9703001437814522,0.9702624990116839,0.9703001437814522,0.9702512775034575,0.9702507167181663,227.3,121.0,256.1,False
C4,4,5,0,1005,Logistic Regression,429760,44513,2308,2184,734,60993,75358,293789,18,44513,2225,22257,0,0.9022330053466325,0.9019280467071306,0.9022330053466325,0.9019466035883998,0.9019474900382634,4.8,286.0,307.7,False
C4,4,5,0,1005,Random Forest,429760,44513,2308,2184,734,60993,75358,293789,18,44513,2225,22257,0,0.9755582513366581,0.9755772569386448,0.9755582513366581,0.9754816436948759,0.975481950089814,16.5,,307.7,False
C4,4,5,0,1005,Decision Tree,429760,44513,2308,2184,734,60993,75358,293789,18,44513,2225,22257,0,0.9703913375567237,0.9703462219409665,0.9703913375567237,0.970333329521407,0.9703337288062885,7.1,,307.7,False
C4,4,5,0,1005,Neural Network,429760,44513,2308,2184,734,60993,75358,293789,18,44513,2225,22257,0,0.9691333063755223,0.9690769138419474,0.9691333063755223,0.9690887814134218,0.9690892283993934,277.8,147.0,307.7,False
C4,4,5,2,1205,Logistic Regression,421584,44514,2298,2173,758,62125,76378,283538,18,44514,2225,22256,0,0.9029025880661394,0.9024776412252032,0.9029025880661394,0.902486606480743,0.9024858520270614,4.4,288.0,286.8,False
C4,4,5,2,1205,Random Forest,421584,44514,2298,2173,758,62125,76378,283538,18,44514,2225,22256,0,0.9760064701653487,0.9759852738855663,0.9760064701653487,0.9759465131108572,0.9759460969385991,15.8,,286.8,False
C4,4,5,2,1205,Decision Tree,421584,44514,2298,2173,758,62125,76378,283538,18,44514,2225,22256,0,0.9697609633357297,0.9697287444527709,0.9697609633357297,0.9697424686436491,0.9697418034446412,7.5,,286.8,False
C4,4,5,2,1205,Neural Network,421584,44514,2298,2173,758,62125,76378,283538,18,44514,2225,22256,0,0.9708842559309849,0.9708164029182873,0.9708842559309849,0.9708307551741914,0.9708301794593366,257.8,133.0,286.8,False
C4,4,5,1,1105,Logistic Regression,434127,44513,2306,2177,804,62477,78848,293526,18,44513,2225,22257,0,0.9095116143235836,0.9092670694138479,0.9095116143235836,0.9092479770249247,0.9092477424306946,4.4,271.0,324.8,False
C4,4,5,1,1105,Random Forest,434127,44513,2306,2177,804,62477,78848,293526,18,44513,2225,22257,0,0.9755133216516152,0.975482421286427,0.9755133216516152,0.9754603120511449,0.9754602886782333,15.5,,324.8,False
C4,4,5,1,1105,Decision Tree,434127,44513,2306,2177,804,62477,78848,293526,18,44513,2225,22257,0,0.9669317518084198,0.9669045505490711,0.9669317518084198,0.9669138133703046,0.9669137719384746,6.8,,324.8,False
C4,4,5,1,1105,Neural Network,434127,44513,2306,2177,804,62477,78848,293526,18,44513,2225,22257,0,0.9690883766904794,0.9690517845348305,0.9690883766904794,0.9690349769377274,0.969035006970372,296.8,160.0,324.8,False
C1,1,10,0,1010,Logistic Regression,2038,2314,293,293,2038,,,,10,44513,4451,22257,0,0.9301343397582783,0.929940929379308,0.9301343397582783,0.9298857614229997,0.9298865663657996,3.2,179.0,254.5,False
C1,1,10,0,1010,Random Forest,2038,2314,293,293,2038,,,,10,44513,4451,22257,0,0.9740755717302422,0.9740812373769971,0.9740755717302422,0.9740018077471899,0.9740021418378808,17.5,,254.5,False
C1,1,10,0,1010,Decision Tree,2038,2314,293,293,2038,,,,10,44513,4451,22257,0,0.9691782360605652,0.9691272588434884,0.9691782360605652,0.9691237334030042,0.9691241330932066,7.0,,254.5,False
C1,1,10,0,1010,Neural Network,2038,2314,293,293,2038,,,,10,44513,4451,22257,0,0.9685042907849216,0.9684326298696845,0.9685042907849216,0.9684455251983441,0.9684458921099809,225.9,121.0,254.5,False
C1,1,10,2,1210,Logistic Regression,2024,2285,318,318,2024,,,,10,44514,4451,22256,0,0.9307153127246586,0.9304723155378789,0.9307153127246586,0.9304869863105231,0.9304860834674417,3.3,184.0,289.3,False
C1,1,10,2,1210,Random Forest,2024,2285,318,318,2024,,,,10,44514,4451,22256,0,0.975422358015816,0.9753849298600409,0.975422358015816,0.9753675415343673,0.9753670748165476,16.7,,289.3,False
