Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
20,2,102,Random Forest,1634,2028,623,0.8765,0.8774,0.8765,0.8766,0.0103,0.0103,0.9246,0.9247,0.9246,0.9242,0.004,0.0039,0.196
20,2,102,Decision Tree,1634,2028,623,0.8824,0.8823,0.8824,0.8821,0.0084,0.0083,0.9137,0.9136,0.9137,0.9134,0.0071,0.0071,0.196
20,2,102,Neural Network,1634,2028,623,0.8138,0.8146,0.8138,0.8139,0.0054,0.0053,0.897,0.8972,0.897,0.8969,0.0071,0.0071,0.196
20,3,103,Logistic Regression,1757,2107,625,0.8562,0.8559,0.8562,0.8557,0.009,0.009,0.8928,0.8924,0.8928,0.8922,0.0057,0.0057,0.1947
20,3,103,Random Forest,1757,2107,625,0.8789,0.88,0.8789,0.8791,0.0054,0.0052,0.9246,0.9246,0.9246,0.9243,0.0037,0.0038,0.1947
20,3,103,Decision Tree,1757,2107,625,0.8775,0.8772,0.8775,0.8772,0.007,0.007,0.9125,0.9124,0.9125,0.9122,0.0045,0.0045,0.1947
20,3,103,Neural Network,1757,2107,625,0.8185,0.8185,0.8185,0.8183,0.013,0.0131,0.9027,0.9028,0.9027,0.9025,0.0074,0.0076,0.1947
20,4,104,Logistic Regression,1610,1988,600,0.856,0.8557,0.856,0.8556,0.0136,0.0132,0.8936,0.8933,0.8936,0.893,0.0105,0.0106,0.1979
20,4,104,Random Forest,1610,1988,600,0.8799,0.8806,0.8799,0.8799,0.0105,0.0103,0.9213,0.9213,0.9213,0.9209,0.0045,0.0045,0.1979
20,4,104,Decision Tree,1610,1988,600,0.8724,0.8726,0.8724,0.8724,0.0114,0.0113,0.91,0.9101,0.91,0.9099,0.0063,0.0062,0.1979
20,4,104,Neural Network,1610,1988,600,0.8136,0.8147,0.8136,0.8137,0.0058,0.0059,0.9009,0.901,0.9009,0.9006,0.0055,0.0057,0.1979
30,0,100,Logistic Regression,2096,2732,977,0.8466,0.8462,0.8466,0.8461,0.0078,0.0076,0.889,0.8886,0.889,0.8885,0.0119,0.0117,0.3016
30,0,100,Random Forest,2096,2732,977,0.8578,0.8582,0.8578,0.8575,0.0044,0.0044,0.9177,0.9176,0.9177,0.9172,0.0074,0.0075,0.3016
30,0,100,Decision Tree,2096,2732,977,0.8663,0.8662,0.8663,0.866,0.0081,0.0082,0.9109,0.9112,0.9109,0.9107,0.0074,0.0073,0.3016
30,0,100,Neural Network,2096,2732,977,0.7871,0.7876,0.7871,0.7871,0.0083,0.0084,0.896,0.8959,0.896,0.8958,0.0055,0.0058,0.3016
30,1,101,Logistic Regression,2287,2855,957,0.8394,0.8392,0.8394,0.8391,0.0069,0.0067,0.8883,0.8878,0.8883,0.8877,0.0115,0.0114,0.2991
30,1,101,Random Forest,2287,2855,957,0.8569,0.8579,0.8569,0.857,0.0081,0.0079,0.918,0.918,0.918,0.9176,0.0037,0.0037,0.2991
30,1,101,Decision Tree,2287,2855,957,0.864,0.864,0.864,0.8639,0.0122,0.0123,0.9077,0.9074,0.9077,0.9074,0.0095,0.0095,0.2991
30,1,101,Neural Network,2287,2855,957,0.7858,0.7863,0.7858,0.7857,0.0088,0.009,0.8974,0.8972,0.8974,0.8971,0.0065,0.0066,0.2991
30,2,102,Logistic Regression,2367,2964,999,0.8462,0.8461,0.8462,0.8458,0.0111,0.0107,0.8869,0.8863,0.8869,0.8862,0.0114,0.0111,0.2952
30,2,102,Random Forest,2367,2964,999,0.8622,0.8625,0.8622,0.862,0.0083,0.0084,0.918,0.918,0.918,0.9176,0.0053,0.0054,0.2952
