N_FD,Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
2,30,3,103,Random Forest,274723,30000,22313,0.8661,0.8655,0.8661,0.8656,0.0035,0.0034,0.9035,0.9031,0.9035,0.903,0.0083,0.0083,0.5041
2,30,3,103,Decision Tree,274723,30000,22313,0.6735,0.675,0.6735,0.674,0.0091,0.0091,0.8713,0.8712,0.8713,0.8711,0.0066,0.0066,0.5041
2,30,3,103,Neural Network,274723,30000,22313,0.8439,0.844,0.8439,0.8438,0.0034,0.0037,0.8769,0.8775,0.8769,0.8771,0.0069,0.0068,0.5041
2,30,4,104,Logistic Regression,269906,30000,22215,0.5812,0.5776,0.5812,0.5788,0.0159,0.0161,0.6687,0.663,0.6687,0.6642,0.0159,0.0163,0.5099
2,30,4,104,Random Forest,269906,30000,22215,0.8697,0.8695,0.8697,0.8693,0.0068,0.0066,0.9038,0.9036,0.9038,0.9032,0.0047,0.0047,0.5099
2,30,4,104,Decision Tree,269906,30000,22215,0.6717,0.6723,0.6717,0.6717,0.0134,0.0132,0.868,0.8676,0.868,0.8676,0.0044,0.0047,0.5099
2,30,4,104,Neural Network,269906,30000,22215,0.8455,0.8452,0.8455,0.8452,0.0051,0.0051,0.8774,0.8772,0.8774,0.8768,0.0064,0.0065,0.5099
4,30,0,100,Logistic Regression,5840572,30000,28155,0.4848,0.481,0.4848,0.4823,0.0058,0.0056,0.6399,0.6316,0.6399,0.6341,0.0134,0.0144,0.7644
4,30,0,100,Random Forest,5840572,30000,28155,0.6786,0.6778,0.6786,0.6777,0.0113,0.0115,0.8756,0.8752,0.8756,0.8743,0.0062,0.0062,0.7644
4,30,0,100,Decision Tree,5840572,30000,28155,0.5506,0.5506,0.5506,0.5505,0.0104,0.0106,0.8509,0.8503,0.8509,0.8503,0.0066,0.0065,0.7644
4,30,0,100,Neural Network,5840572,30000,28155,0.5675,0.5672,0.5675,0.567,0.0084,0.0087,0.8137,0.8126,0.8137,0.8125,0.0025,0.003,0.7644
4,30,1,101,Logistic Regression,5822356,30000,28064,0.4857,0.4824,0.4857,0.4837,0.0144,0.0149,0.6468,0.6396,0.6468,0.6419,0.0211,0.0217,0.7619
