Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
30,3,103,Random Forest,2213,2831,989,0.7351,0.7395,0.7351,0.7363,0.0074,0.0076,0.9189,0.9188,0.9189,0.9186,0.0065,0.0066,0.2952
30,3,103,Decision Tree,2213,2831,989,0.7058,0.7071,0.7058,0.706,0.0076,0.0078,0.9061,0.9061,0.9061,0.906,0.0083,0.0084,0.2952
30,3,103,Neural Network,2213,2831,989,0.6977,0.6982,0.6977,0.6974,0.0081,0.0083,0.8821,0.8825,0.8821,0.8818,0.0069,0.0073,0.2952
30,4,104,Logistic Regression,2324,3003,996,0.5759,0.5744,0.5759,0.5746,0.0199,0.0195,0.7255,0.7231,0.7255,0.7237,0.0181,0.0182,0.3001
30,4,104,Random Forest,2324,3003,996,0.7342,0.7391,0.7342,0.7354,0.0088,0.0087,0.9159,0.9159,0.9159,0.9157,0.0054,0.0055,0.3001
30,4,104,Decision Tree,2324,3003,996,0.6913,0.6923,0.6913,0.6915,0.0037,0.0037,0.8981,0.8979,0.8981,0.8979,0.0091,0.0091,0.3001
30,4,104,Neural Network,2324,3003,996,0.6901,0.6904,0.6901,0.69,0.0064,0.0065,0.8845,0.8844,0.8845,0.8843,0.0054,0.0056,0.3001
40,0,100,Logistic Regression,2842,3807,1428,0.5124,0.5103,0.5124,0.5108,0.0148,0.0148,0.6852,0.6814,0.6852,0.6827,0.0131,0.0134,0.4005
40,0,100,Random Forest,2842,3807,1428,0.6707,0.672,0.6707,0.6702,0.0184,0.0185,0.9054,0.9052,0.9054,0.9051,0.0084,0.0084,0.4005
40,0,100,Decision Tree,2842,3807,1428,0.6251,0.6254,0.6251,0.6249,0.009,0.009,0.8906,0.89,0.8906,0.8901,0.0013,0.0015,0.4005
40,0,100,Neural Network,2842,3807,1428,0.624,0.6248,0.624,0.6238,0.0091,0.0095,0.8684,0.8685,0.8684,0.8682,0.0095,0.0094,0.4005
40,1,101,Logistic Regression,2905,3865,1459,0.5204,0.5186,0.5204,0.519,0.0126,0.0127,0.6918,0.6883,0.6918,0.6891,0.0224,0.0228,0.3991
40,1,101,Random Forest,2905,3865,1459,0.6731,0.6754,0.6731,0.6734,0.0132,0.0131,0.9058,0.9058,0.9058,0.9054,0.0043,0.0043,0.3991
40,1,101,Decision Tree,2905,3865,1459,0.6352,0.6357,0.6352,0.6352,0.0162,0.0161,0.8922,0.8917,0.8922,0.8917,0.0107,0.0109,0.3991
40,1,101,Neural Network,2905,3865,1459,0.6188,0.6195,0.6188,0.6186,0.0088,0.0085,0.8601,0.8595,0.8601,0.8595,0.0087,0.0094,0.3991
40,2,102,Logistic Regression,2605,3466,1341,0.5304,0.5291,0.5304,0.529,0.0168,0.0158,0.702,0.698,0.702,0.6994,0.0211,0.0211,0.3942
